creature_id,display_name,body,trait,attribute_main,attribute_sub,cost,attack,hp,speed,weird,rarity,power_score,ability_name,ability_text
"001-001","双爺","爺","爺","知","知","3","2","6","1","4","Common","8.3","老獪知恵袋","老獪：後攻なら、このクリーチャーは体力+1。 / 知恵袋：倒されたとき、カードを1枚引く。"
"001-002","爺番長","番長","爺","武","知","4","4","6","3","3","Common","8.8","老獪舎弟呼び","老獪：後攻なら、このクリーチャーは体力+1。 / 舎弟呼び：召喚時、攻撃1/体力1の舎弟を1体出す。"
"001-003","爺忍者","忍者","爺","影","知","4","4","4","5","4","Rare","9.9","老獪熟練","老獪：後攻なら、このクリーチャーは体力+1。 / 影分け：速度が相手以上なら、受けるダメージ-1。 / 熟練：後攻時、反撃できる。"
"001-004","爺受験","受験","爺","学","知","4","2","7","2","7","Common","9.4","老獪試験場","老獪：後攻なら、このクリーチャーは体力+1。 / 試験場：ターン終了時、手札が2枚以下なら奇怪+1。"
"001-005","爺宿題","宿題","爺","学","知","4","1","7","2","6","Common","7.5","老獪未提出","老獪：後攻なら、このクリーチャーは体力+1。 / 未提出：場に残るほど強くなる。自分のターン開始時、体力+1。"
"001-006","爺校長","校長","爺","知","知","4","2","8","2","5","Common","9","老獪朝礼台","老獪：後攻なら、このクリーチャーは体力+1。 / 朝礼台：味方全体の体力+1。ただしこのクリーチャーは速度-1。"
"001-007","爺コブシ","コブシ","爺","武","知","5","6","5","2","3","Rare","8.2","老獪熟練","老獪：後攻なら、このクリーチャーは体力+1。 / 打撃体：攻撃時、正面の敵に追加1ダメージ。 / 熟練：後攻時、反撃できる。"
"001-008","爺牙","牙","爺","武","知","5","6","4","3","3","Rare","8","老獪熟練","老獪：後攻なら、このクリーチャーは体力+1。 / 鋭牙：このクリーチャーがダメージを与えた敵は回復できない。 / 熟練：後攻時、反撃できる。"
"001-009","爺雷","雷","爺","雷","知","5","5","4","5","5","Common","9","老獪帯電体","老獪：後攻なら、このクリーチャーは体力+1。 / 帯電体：攻撃を受けたとき、攻撃した相手に1ダメージ。"
"001-010","爺猫","猫","爺","獣","知","4","3","4","6","4","Common","8.7","老獪俊敏","老獪：後攻なら、このクリーチャーは体力+1。 / 俊敏：最初に受ける攻撃ダメージを1減らす。"
"001-011","爺犬","犬","爺","獣","知","4","3","6","4","2","Common","7.7","老獪かばう","老獪：後攻なら、このクリーチャーは体力+1。 / かばう：隣の味方が受ける最初のダメージを1肩代わりする。"
"001-012","爺鬼","鬼","爺","怪","知","6","7","6","2","6","Rare","10.5","老獪熟練","老獪：後攻なら、このクリーチャーは体力+1。 / 金棒乱舞：攻撃時、隣の敵にも1ダメージ。 / 熟練：後攻時、反撃できる。"
"001-013","爺幽霊","幽霊","爺","影","知","4","2","4","3","8","Super Rare","7.9","老獪未練","老獪：後攻なら、このクリーチャーは体力+1。 / 未練：倒されたとき、奇怪が4以上なら手札に戻る。"
"001-014","爺魔王","魔王","爺","闇","知","5","6","7","2","6","Rare","11.5","老獪玉座","老獪：後攻なら、このクリーチャーは体力+1。 / 玉座：場にいる味方1体につき攻撃+1。"
"001-015","爺呪い","呪い","爺","影","知","4","1","5","2","9","Super Rare","7.6","老獪返り呪","老獪：後攻なら、このクリーチャーは体力+1。 / 返り呪：倒されたとき、倒した相手に2ダメージ。"
"001-016","爺饅頭","饅頭","爺","食","知","4","2","8","2","4","Common","8.3","老獪あんこ壁","老獪：後攻なら、このクリーチャーは体力+1。 / あんこ壁：このクリーチャーが受ける最初のダメージを2減らす。"
"001-017","爺鍋","鍋","爺","食","知","4","2","7","2","5","Common","8","老獪鉄鍋","老獪：後攻なら、このクリーチャーは体力+1。 / 鉄鍋：受ける攻撃ダメージを1減らす。"
"001-018","爺鍵","鍵","爺","知","知","4","2","5","3","6","Common","8.7","老獪鍵穴体","老獪：後攻なら、このクリーチャーは体力+1。 / 鍵穴体：このクリーチャーは一度だけ別の上の句と再合成できる。"
"001-019","爺透明","透明","爺","影","知","5","3","4","6","8","Super Rare","9.5","老獪見えない本体","老獪：後攻なら、このクリーチャーは体力+1。 / 見えない本体：攻撃されるたび、相手は奇怪判定に失敗すると攻撃を外す。"
